time,size_sent,size_rcv 
10,46.875,531.25 
20,71.484375,810.15625 
30,49.21875,557.8125 
40,45.1171875,511.328125 
50,70.3125,796.875 
60,43.9453125,498.046875 
70,45.703125,517.96875 
80,66.796875,757.03125 
90,58.0078125,657.421875 
100,73.828125,836.71875 
110,41.015625,464.84375 
120,86.1328125,946.953125 
130,255.46875,2924.53125 
140,243.1640625,2755.859375 
150,394.921875,4475.78125 
160,212.109375,2403.90625 
170,246.09375,2789.0625 
180,333.984375,3785.15625 
190,268.359375,3041.40625 
200,328.30078125,3641.71875 
210,293.96484375,3410.625 
220,267.1875,3028.125 
230,346.2890625,3924.609375 
240,246.09375,2789.0625 
250,178.7109375,2025.390625 
260,86.1328125,976.171875 
270,127.8515625,1416.4453125 
280,118.828125,1379.2578125 
290,99.0234375,1122.265625 
300,145.8984375,1653.515625 
310,90.234375,1022.65625 
320,148.828125,1686.71875 
330,105.46875,1195.3125 
340,90.234375,1022.65625 
350,143.5546875,1626.953125 
360,97.265625,1102.34375 
364,20.5078125,232.421875 
