time,page 
10,4145.95703125 
20,4145.95703125 
30,4145.95703125 
40,4322.02685546875 
50,4322.02685546875 
60,4322.02685546875 
70,4322.02685546875 
80,4322.02685546875 
90,4322.02685546875 
100,4322.02685546875 
110,4322.02685546875 
120,4322.02685546875 
130,4322.02685546875 
140,4322.02685546875 
150,4322.02685546875 
160,4322.02685546875 
170,4322.02685546875 
180,4322.02685546875 
190,4403.496826171875 
200,4403.496826171875 
210,4403.496826171875 
220,4403.496826171875 
230,4403.496826171875 
240,4403.496826171875 
250,4403.496826171875 
260,4403.496826171875 
270,4403.496826171875 
280,4403.496826171875 
290,4403.496826171875 
300,4403.496826171875 
310,4403.496826171875 
320,4403.496826171875 
330,4403.496826171875 
340,4403.496826171875 
350,4403.496826171875 
360,4555.6298828125 
364,4555.6298828125 
