time,users_count,finish_users_count 
0,1,0 
10,10,8 
20,9.8,12.2 
30,9.8,8.4 
40,9.5,7.7 
50,9.6,12 
60,8.9,7.5 
70,8.7,9.6 
80,9.5,9.6 
90,12,9.9 
100,9.7,12.6 
110,9.2,7 
120,15.6,14.7 
130,50.7,43.6 
140,51.2,41.5 
150,47.6,67.4 
160,50.6,36.2 
170,43.5,42 
180,49.7,57 
190,50.9,45.8 
200,49.7,41.2 
210,55.1,65 
220,50.1,45.6 
230,48.3,59.1 
240,47.1,42 
250,20,30.5 
260,18.2,14.7 
270,19.8,16.1 
280,21.3,26 
290,19.7,16.9 
300,20.3,24.9 
310,18.9,15.4 
320,21.3,25.4 
330,20.7,18 
340,19.4,15.4 
350,19.5,24.5 
360,16.6,16.6 
364,0,3.5 
