time,error_connection_closed 
20,58 
30,1274 
40,1882 
50,2178 
60,2759 
70,3787 
80,4322 
90,4865 
100,5633 
110,6017 
120,6512 
130,6868 
140,7083 
150,7182 
160,7182 
170,7182 
180,7902 
190,7902 
200,7902 
210,8012 
220,8187 
230,8219 
240,8219 
250,9067 
260,9643 
270,9931 
280,10355 
290,10794 
300,11018 
310,11786 
320,11850 
330,11850 
340,11850 
350,11850 
360,11850 
370,11850 
380,11889 
390,11889 
400,12032 
410,12032 
420,12032 
430,12032 
440,12032 
450,12241 
460,12490 
470,13017 
480,13017 
490,13017 
500,13632 
510,14016 
520,14300 
530,14300 
540,14300 
550,14780 
560,15694 
570,15897 
580,15897 
590,16834 
600,17619 
610,19139 
620,19620 
630,20540 
640,21532 
650,23383 
660,24134 
670,24611 
680,24611 
690,24611 
700,24611 
710,24611 
720,24611 
730,25223 
740,25223 
750,25961 
760,25961 
770,26250 
780,27135 
790,27199 
800,27199 
810,27564 
820,28053 
830,28149 
840,28719 
850,29743 
860,29999 
870,31054 
880,31587 
890,32397 
900,32781 
910,33195 
920,33409 
930,33473 
940,33710 
950,34510 
960,35254 
970,36754 
980,37434 
990,37754 
1000,37946 
1010,37978 
1020,38594 
1030,38676 
1040,39881 
1050,40356 
1060,40612 
1070,40741 
1080,41801 
1090,42493 
1100,42493 
1110,42493 
1120,42493 
1130,42493 
1140,42493 
1150,42859 
1160,42859 
1170,43691 
1180,44234 
1190,44627 
1200,45779 
1210,45779 
1220,45779 
1230,46919 
1240,47662 
1250,48708 
1260,48890 
1270,48890 
1280,49495 
1290,49559 
1300,49559 
1310,49559 
1320,49559 
1330,49559 
1340,50546 
1350,51411 
1360,52696 
1370,53620 
1380,53684 
1390,54849 
1400,56011 
1410,56175 
1420,56175 
1430,56175 
1440,56825 
1450,57367 
1460,57698 
1470,58672 
1480,58864 
1490,58864 
1500,58864 
1510,59218 
1520,59218 
1530,59218 
1540,59672 
1549,59864 
