time,newphase 
330,1 
340,1 
350,1 
360,1 
370,1 
380,1 
390,1 
400,1 
410,1 
420,1 
430,1 
440,1 
450,1 
460,1 
470,1 
480,1 
490,1 
500,1 
510,1 
520,1 
530,1 
540,1 
550,1 
560,1 
570,1 
580,1 
590,1 
600,1 
610,1 
620,1 
630,1 
640,1 
650,1 
660,1 
670,1 
680,1 
690,1 
700,1 
710,1 
720,1 
730,1 
740,1 
750,1 
760,1 
770,1 
780,1 
790,1 
800,1 
810,1 
820,1 
830,1 
840,1 
850,1 
860,1 
870,1 
880,1 
890,1 
900,1 
910,1 
920,1 
930,1 
940,1 
950,1 
960,1 
970,1 
980,1 
990,1 
1000,1 
1010,1 
1020,1 
1030,1 
1040,1 
1050,1 
1060,1 
1070,1 
1080,1 
1090,2 
1100,2 
1110,2 
1120,2 
1130,2 
1140,2 
1150,2 
1160,2 
1170,2 
1180,2 
1190,2 
1200,2 
1210,2 
1220,2 
1230,2 
1240,2 
1250,2 
1260,2 
1270,2 
1280,2 
1290,2 
1300,2 
1310,2 
1320,2 
1330,2 
1340,2 
1350,2 
1360,2 
1370,2 
1380,2 
1390,2 
1400,2 
1410,2 
1420,2 
1430,2 
1440,2 
1450,2 
1460,2 
1470,2 
1480,2 
1490,2 
1500,2 
1510,2 
1520,2 
1530,2 
1540,2 
1549,2 
