time,connect,request 
10,1981.77294921875,28.60595703125 
20,1981.77294921875,16.943115234375 
30,1981.77294921875,16.943115234375 
40,1981.77294921875,1.184814453125 
50,1981.77294921875,1.184814453125 
60,1981.77294921875,1.184814453125 
70,1981.77294921875,1.184814453125 
80,1981.77294921875,1.184814453125 
90,1981.77294921875,1.184814453125 
100,247.208984375,0.81884765625 
110,247.208984375,0.81884765625 
120,247.208984375,0.81884765625 
130,247.208984375,0.672119140625 
140,247.208984375,0.672119140625 
150,247.208984375,0.672119140625 
160,247.208984375,0.672119140625 
170,247.208984375,0.672119140625 
180,247.208984375,0.672119140625 
190,247.208984375,0.672119140625 
200,247.208984375,0.672119140625 
210,247.208984375,0.672119140625 
220,247.208984375,0.672119140625 
230,247.208984375,0.672119140625 
240,247.208984375,0.672119140625 
250,247.208984375,0.672119140625 
260,247.208984375,0.672119140625 
270,247.208984375,0.672119140625 
280,247.208984375,0.672119140625 
290,247.208984375,0.672119140625 
300,247.208984375,0.672119140625 
310,247.208984375,0.672119140625 
320,247.208984375,0.672119140625 
330,247.208984375,0.672119140625 
340,247.208984375,0.672119140625 
350,247.208984375,0.672119140625 
360,247.208984375,0.672119140625 
370,247.208984375,0.672119140625 
380,247.208984375,0.672119140625 
390,247.208984375,0.672119140625 
400,247.208984375,0.672119140625 
410,247.208984375,0.672119140625 
420,247.208984375,0.672119140625 
430,247.208984375,0.672119140625 
440,247.208984375,0.672119140625 
450,247.208984375,0.672119140625 
460,247.208984375,0.672119140625 
470,247.208984375,0.672119140625 
480,247.208984375,0.672119140625 
490,247.208984375,0.672119140625 
500,247.208984375,0.672119140625 
510,247.208984375,0.672119140625 
520,247.208984375,0.672119140625 
530,247.208984375,0.672119140625 
540,247.208984375,0.672119140625 
550,247.208984375,0.672119140625 
560,247.208984375,0.672119140625 
570,247.208984375,0.672119140625 
580,247.208984375,0.672119140625 
590,247.208984375,0.672119140625 
600,247.208984375,0.672119140625 
610,247.208984375,0.672119140625 
620,247.208984375,0.6708984375 
630,247.208984375,0.6708984375 
640,247.208984375,0.6708984375 
650,247.208984375,0.6689453125 
660,247.208984375,0.6689453125 
670,247.208984375,0.6689453125 
680,247.208984375,0.6689453125 
690,247.208984375,0.6689453125 
700,247.208984375,0.6689453125 
710,247.208984375,0.6689453125 
720,247.208984375,0.6689453125 
730,247.208984375,0.6689453125 
740,247.208984375,0.6689453125 
750,247.208984375,0.6689453125 
760,247.208984375,0.6689453125 
770,247.208984375,0.6689453125 
780,247.208984375,0.6689453125 
790,247.208984375,0.6689453125 
800,247.208984375,0.6689453125 
810,247.208984375,0.6689453125 
820,247.208984375,0.6689453125 
830,247.208984375,0.6689453125 
840,247.208984375,0.6689453125 
850,247.208984375,0.6689453125 
860,247.208984375,0.6689453125 
870,247.208984375,0.6689453125 
880,247.208984375,0.6689453125 
890,247.208984375,0.6689453125 
900,247.208984375,0.6689453125 
910,247.208984375,0.6689453125 
920,247.208984375,0.6689453125 
930,247.208984375,0.6689453125 
940,247.208984375,0.6689453125 
950,247.208984375,0.6689453125 
960,247.208984375,0.6689453125 
970,247.208984375,0.6689453125 
980,247.208984375,0.6689453125 
990,247.208984375,0.6689453125 
1000,247.208984375,0.6689453125 
1010,247.208984375,0.6689453125 
1020,247.208984375,0.6689453125 
1030,247.208984375,0.6689453125 
1040,247.208984375,0.6689453125 
1050,247.208984375,0.6689453125 
1060,247.208984375,0.6689453125 
1070,247.208984375,0.6689453125 
1080,247.208984375,0.6689453125 
1090,247.208984375,0.6689453125 
1100,247.208984375,0.6689453125 
1110,247.208984375,0.6689453125 
1120,247.208984375,0.6689453125 
1130,247.208984375,0.6689453125 
1140,247.208984375,0.6689453125 
1150,247.208984375,0.6689453125 
1160,247.208984375,0.6689453125 
1170,247.208984375,0.6689453125 
1180,247.208984375,0.6689453125 
