time,users,connected 
0,952, 
10,1000,1000 
20,1846,1000 
30,1616,1000 
40,1179,1000 
50,2000,1000 
60,1242,1000 
70,1118,0 
80,1578,968 
90,1261,1226 
100,1127,1000 
110,2257,1105 
120,1736,1000 
130,2000,904 
140,1000,213 
150,1587,1000 
160,2000,1000 
170,2287,1000 
180,1832,832 
190,1000,986 
200,2000,904 
210,1000,207 
220,2001,1000 
230,1000,938 
240,2000,1000 
250,1000,1000 
260,2325,1000 
270,1501,1098 
280,1091,1000 
290,1470,1000 
300,1024,1000 
310,2000,956 
320,1000,1000 
330,2839,1000 
340,1733,1000 
350,1728,1000 
360,1017,1081 
370,2045,998 
380,1000,1000 
390,2220,1000 
400,1757,1000 
410,1184,1030 
420,1726,1000 
430,1000,1000 
440,1795,1000 
450,1000,913 
460,1956,1000 
470,1000,84 
480,2323,996 
490,1000,1000 
500,2000,1000 
510,1726,710 
520,1761,840 
530,1160,379 
540,2262,1000 
550,1169,1367 
560,2000,819 
570,1000,1000 
580,2000,1000 
590,1000,1000 
600,2000,1000 
610,1276,1000 
620,1934,968 
630,1178,1000 
640,2000,1000 
650,1179,916 
660,1143,1000 
670,1000,1000 
680,2000,1000 
690,1948,1000 
700,2001,457 
710,1544,627 
720,1819,833 
730,1000,0 
740,2000,1000 
750,1000,76 
760,2000,1000 
770,1044,248 
780,2000,1000 
790,1000,1000 
800,2000,993 
810,1662,968 
820,2000,1038 
830,1188,1000 
840,1744,936 
850,1827,1000 
860,1938,732 
870,1829,680 
880,1145,660 
890,2000,1000 
900,1000,1000 
910,2807,1000 
920,1683,1000 
930,1789,872 
940,1186,1338 
950,2000,1000 
960,1033,1000 
970,2000,1000 
980,1000,1000 
990,2000,1000 
1000,2435,212 
1010,1486,744 
1020,1333,873 
1030,1915,1000 
1040,1951,1000 
1050,1192,541 
1060,1684,1000 
1070,1000,0 
1080,2000,1000 
1090,1493,1208 
1100,2000,936 
1110,1421,1731 
1120,2000,1000 
1130,1000,1000 
1140,2000,1000 
1150,1351,1000 
1160,1000,1000 
1170,1712,969 
1180,0,0 
